Rank,Player,Country,Matches,Average
1,Phil Taylor,England,717,101.73
2,Michael van Gerwen,Netherlands,958,100.86
3,Michael van Gerwen+Raymond van Barneveld,Netherlands,12,98.65
4,Gary Anderson,Scotland,708,97.82
5,Rob Cross,England,410,97.69
6,Peter Wright,Scotland,810,97.5
7,Ian White,England,499,96.73
8,Dave Chisnall,England,604,96.57
9,Glen Durrant,England,344,96.51
10,Raymond van Barneveld,Netherlands,812,96.12
11,Michael Smith,England,575,95.93
12,Gerwyn Price,Wales,460,95.78
13,Krzysztof Ratajski,Poland,307,95.77
14,Mensur Suljovic,Austria,444,95.6
15,Adrian Lewis,England,788,95.15
16,Kim Huybrechts+Ronny Huybrechts,Belgium,8,95.02
17,Daryl Gurney,Northern Ireland,462,94.93
18,Corey Cadby,Australia,125,94.86
19,James Wade,England,867,94.77
20,Scott Rand,England,10,94.76
21,Nathan Aspinall,England,329,94.7
22,Gabriel Clemens,Germany,253,94.54
23,Jason Lowe,England,80,94.39
24,Jeffrey de Zwaan,Netherlands,348,94.35
25,Jose de Sousa,Portugal,174,94.22
26,Kim Huybrechts,Belgium,449,94.19
27,Gary Anderson+Peter Wright,Scotland,7,94.17
28,Jamie Hughes,England,263,94.03
29,Jonny Clayton,Wales,323,93.9
30,Simon Whitlock,Australia,674,93.81
31,Chris Dobey,England,301,93.66
32,Danny Noppert,Netherlands,313,93.66
33,Dimitri van den Bergh,Belgium,282,93.65
34,Steve Lennon,Ireland,253,93.48
35,Kyle Anderson,Australia,318,93.44
36,Joe Cullen,England,338,93.37
37,Mervyn King,England,621,93.34
38,Kai Fan Leung,Hong Kong,43,93.14
39,Steve Beaton,England,435,93.1
40,Stephen Bunting,England,477,93
41,Ross Smith,England,251,92.93
42,Jermaine Wattimena,Netherlands,317,92.8
43,Ricky Evans,England,291,92.63
44,Willie O Connor,Ireland,253,92.61
45,John Henderson,Scotland,356,92.61
46,Keegan Brown,England,319,92.55
47,Terry Jenkins,England,385,92.51
48,Brendan Dolan,Northern Ireland,368,92.45
49,Luke Humphries,England,335,92.38
50,Martin Adams,England,222,92.34
