scorenumber,score,firstName,firstNumber,secondName,secondNumber,thirdName,thirdNumber
170,"""170""",T20,60,T20,60,Bull,50
167,"""167""",T20,60,T19,57,Bull,50
164,"""164""",T19,57,T19,57,Bull,50
161,"""161""",T20,60,T17,51,Bull,50
160,"""160""",T20,60,T20,60,D20,40
158,"""158""",T20,60,T20,60,D19,38
157,"""157""",T19,57,T20,60,D20,40
156,"""156""",T20,60,T20,60,D18,36
155,"""155""",T20,60,T19,57,D19,38
154,"""154""",T20,60,T18,54,D20,40
153,"""153""",T20,60,T19,57,D18,36
152,"""152""",T20,60,T20,60,D16,32
151,"""151""",T20,60,T17,51,D20,40
150,"""150""",T20,60,T18,54,D18,36
149,"""149""",T20,60,T19,57,D16,32
148,"""148""",T20,60,T20,60,D14,28
147,"""147""",T20,60,T17,51,D18,36
146,"""146""",T20,60,T18,54,D16,32
145,"""145""",T20,60,T15,45,D20,40
144,"""144""",T20,60,T20,60,D12,24
143,"""143""",T20,60,T17,51,D16,32
142,"""142""",T20,60,T14,42,D20,40
141,"""141""",T20,60,T15,45,D18,36
140,"""140""",T20,60,T16,48,D16,32
139,"""139""",T20,60,T13,39,D20,40
138,"""138""",T20,60,T16,48,D15,30
137,"""137""",T18,54,T17,51,D16,32
136,"""136""",T20,60,T20,60,D8,16
135,"""135""",T20,60,T13,39,D18,36
134,"""134""",T20,60,T14,42,D16,32
133,"""133""",T20,60,T19,57,D8,16
132,"""132""",T20,60,T16,48,D12,24
131,"""131""",T20,60,T13,39,D16,32
130,"""130""",T20,60,T18,54,D8,16
129,"""129""",T19,57,T16,48,D12,24
128,"""128""",T20,60,T20,60,D4,8
127,"""127""",T20,60,T17,51,D8,16
126,"""126""",T19,57,19,19,Bull,50
125,"""125""",T20,60,T19,57,D4,8
124,"""124""",T20,60,T16,48,D8,16
123,"""123""",T20,60,T13,39,D12,24
122,"""122""",T18,54,18,18,Bull,50
121,"""121""",T19,57,14,14,Bull,50
120,"""120""",T20,60,20,20,D20,40
119,"""119""",T20,60,19,19,D20,40
118,"""118""",T20,60,18,18,D20,40
117,"""117""",T20,60,17,17,D20,40
116,"""116""",T20,60,16,16,D20,40
115,"""115""",T20,60,15,15,D20,40
114,"""114""",T20,60,14,14,D20,40
113,"""113""",T20,60,13,13,D20,40
112,"""112""",T20,60,12,12,D20,40
111,"""111""",T20,60,19,19,D16,32
110,"""110""",T20,60,10,10,D20,40
109,"""109""",T19,57,12,12,D20,40
108,"""108""",T20,60,16,16,D16,32
107,"""107""",T19,57,10,10,D20,40
106,"""106""",T20,60,10,10,D18,36
105,"""105""",T20,60,13,13,D16,32
104,"""104""",T20,60,12,12,D16,32
103,"""103""",T19,57,10,10,D18,36
102,"""102""",T20,60,10,10,D16,32
101,"""101""",T17,51,10,10,D20,40
100,"""100""",T20,60,D20,40,,
99,"""99""",T19,57,10,10,D16,32
98,"""98""",T20,60,D19,38,,
97,"""97""",T19,57,D20,40,,
96,"""96""",T20,60,D18,36,,
95,"""95""",T19,57,D19,38,,
94,"""94""",T18,54,D20,40,,
93,"""93""",T19,57,D18,36,,
92,"""92""",T20,60,D16,32,,
91,"""91""",T17,51,D20,40,,
90,"""90""",T18,54,D18,36,,
89,"""89""",T19,57,D16,32,,
88,"""88""",T16,48,D20,40,,
87,"""87""",T17,51,D18,36,,
86,"""86""",T18,54,D16,32,,
85,"""85""",T15,45,D20,40,,
84,"""84""",T16,48,D18,36,,
83,"""83""",T17,51,D16,32,,
82,"""82""",T14,42,D20,40,,
81,"""81""",T15,45,D18,36,,
80,"""80""",T16,48,D16,32,,
79,"""79""",T13,39,D20,40,,
78,"""78""",T18,54,D12,24,,
77,"""77""",T15,45,D16,32,,
76,"""76""",T20,60,D8,16,,
75,"""75""",T13,39,D18,36,,
74,"""74""",T14,42,D16,32,,
73,"""73""",T19,57,D8,16,,
72,"""72""",T16,48,D12,24,,
71,"""71""",T13,39,D16,,,
70,"""70""",T18,54,D8,16,,
69,"""69""",19,19,Bull,50,,
68,"""68""",T20,60,D4,8,,
67,"""67""",T17,51,D8,16,,
66,"""66""",T10,30,D18,36,,
65,"""65""",T19,57,D4,8,,
64,"""64""",T16,48,D8,16,,
63,"""63""",T13,39,D12,24,,
62,"""62""",T10,30,D16,32,,
61,"""61""",T15,45,D8,16,,
60,"""60""",20,20,D20,40,,
59,"""59""",19,19,D20,40,,
58,"""58""",18,18,D20,40,,
57,"""57""",17,17,D20,40,,
56,"""56""",16,16,D20,40,,
55,"""55""",15,15,D20,40,,
54,"""54""",14,14,D20,40,,
53,"""53""",13,13,D20,40,,
52,"""52""",12,12,D20,40,,
51,"""51""",19,19,D16,32,,
50,"""50""",10,10,D20,40,,
49,"""49""",17,17,D16,32,,
48,"""48""",16,16,D16,32,,
47,"""47""",15,15,D16,32,,
46,"""46""",6,6,D20,40,,
45,"""45""",13,13,D16,32,,
44,"""44""",12,12,D16,32,,
43,"""43""",3,3,D20,40,,
42,"""42""",10,10,D16,32,,
41,"""41""",9,9,D16,32,,
40,"""40""",D20,40,,,,
