,Player,Country,Matches_for_average,Average_points_per_turn,Checkouts,Checkout_Percentage,Nine_darters,Total_180s,Prize,Tournament_Wins,Matches_other4,Wins,Losses,Percentage
0,Phil Taylor,England,717,101.73,"2,532/5,910",42.84%,21,1935,"£7,216,306",184,1911,1669,242,87.34%
1,Michael van Gerwen,Netherlands,958,100.86,"5,377/12,444",43.21%,17,3045,"£8,284,667",145,2331,1819,512,78.04%
2,Michael van Gerwen+Raymond van Barneveld,Netherlands,12,98.65,44/107,41.12%,,,,,,,,
3,Gary Anderson,Scotland,708,97.82,"2,788/6,931",40.23%,4,2107,"£4,044,772",73,1888,1354,534,71.72%
4,Rob Cross,England,410,97.69,"1,536/3,771",40.73%,,837,"£1,604,600",,,,,
5,Peter Wright,Scotland,810,97.5,"3,445/8,409",40.97%,2,1843,"£3,431,938",30,,,,
6,Ian White,England,499,96.73,"1,202/3,148",38.18%,5,699,"£1,199,058",20,,,,
7,Dave Chisnall,England,604,96.57,"2,133/5,547",38.45%,7,1725,"£1,944,165",27,,,,
8,Glen Durrant,England,344,96.51,375/922,40.67%,1,400,"£807,372",44,701,515,186,73.47%
9,Raymond van Barneveld,Netherlands,812,96.12,"2,283/5,647",40.43%,9,1736,"£3,350,978",58,,,,
10,Michael Smith,England,575,95.93,"1,827/4,778",38.24%,3,1132,"£1,714,685",,,,,
11,Gerwyn Price,Wales,460,95.78,"1,554/3,916",39.68%,,725,"£1,477,803",,,,,
12,Krzysztof Ratajski,Poland,307,95.77,,,,,,35,561,403,158,71.84%
13,Mensur Suljovic,Austria,444,95.6,"1,647/4,073",40.44%,,719,"£1,397,117",29,,,,
14,Adrian Lewis,England,788,95.15,"2,200/5,667",38.82%,11,1910,"£3,111,634",27,,,,
15,Kim Huybrechts+Ronny Huybrechts,Belgium,8,95.02,,,,,,,,,,
16,Daryl Gurney,Northern Ireland,462,94.93,"1,646/4,171",39.46%,,972,"£1,336,450",,,,,
17,Corey Cadby,Australia,125,94.86,158/411,38.44%,,,,26,303,230,73,75.91%
18,James Wade,England,867,94.77,"2,550/6,202",41.12%,6,1530,"£3,427,643",43,,,,
19,Scott Rand,England,10,94.76,,,,,,,,,,
