Rank,Player,Country,Total_180s
1,Michael van Gerwen,Netherlands,3045
2,Gary Anderson,Scotland,2107
3,Phil Taylor,England,1935
4,Adrian Lewis,England,1910
5,Peter Wright,Scotland,1843
6,Raymond van Barneveld,Netherlands,1736
7,Dave Chisnall,England,1725
8,James Wade,England,1530
9,Simon Whitlock,Australia,1497
10,Michael Smith,England,1132
11,Daryl Gurney,Northern Ireland,972
12,Rob Cross,England,837
13,Mervyn King,England,760
14,Terry Jenkins,England,753
15,Robert Thornton,Scotland,734
16,Gerwyn Price,Wales,725
17,Mensur Suljovic,Austria,719
18,Ian White,England,699
19,Stephen Bunting,England,651
20,Kim Huybrechts,Belgium,624
21,Andy Hamilton,England,568
22,Jelle Klaasen,Netherlands,557
23,Vincent van der Voort,Netherlands,492
24,Wes Newton,England,478
25,Joe Cullen,England,436
26,Kyle Anderson,Australia,416
27,Glen Durrant,England,400
28,Steve Beaton,England,396
29,Kevin Painter,England,390
30,Alan Norris,England,388
31,Mark Webster,Wales,384
32,Justin Pipe,England,336
33,Scott Waites,England,293
34,Darren Webster,England,282
35,John Henderson,Scotland,276
36,Dimitri van den Bergh,Belgium,275
37,Nathan Aspinall,England,269
38,Ronnie Baxter,England,258
39,James Wilson,England,252
40,Steve West,England,252
41,Paul Nicholson,Australia,249
42,Chris Dobey,England,248
43,Max Hopp,Germany,247
44,Brendan Dolan,Northern Ireland,246
45,Jonny Clayton,Wales,246
46,Keegan Brown,England,222
47,Wayne Jones,England,221
48,Martin Adams,England,217
49,Benito van de Pas,Netherlands,210
50,Jamie Caven,England,207
