Rank,Player,Country,Matches,Wins,Losses,Percentage
1,Phil Taylor,England,1911,1669,242,87.34%
2,Ken Mather,England,7,6,1,85.71%
3,Herbert Biendl,,7,6,1,85.71%
4,Benjamin Dersch,USA,7,6,1,85.71%
5,Andy Mountford,,6,5,1,83.33%
6,Rajanderan V Rajoo,Singapore,6,5,1,83.33%
7,John Husman,USA,6,5,1,83.33%
8,Dave Brocksmith,USA,6,5,1,83.33%
9,Ronald L Briones,Philippines,21,17,4,80.95%
10,Bobby Concepcion,Philippines,5,4,1,80.00%
11,Eddie Haywood,England,10,8,2,80.00%
12,Dave Methven,Australia,5,4,1,80.00%
13,Ian Kent,England,5,4,1,80.00%
14,Wesley van Oss,Netherlands,5,4,1,80.00%
15,Sven Schneider,Brazil,5,4,1,80.00%
16,Danny Scally,Australia,5,4,1,80.00%
17,Kasper Hansen,Denmark,5,4,1,80.00%
18,Jamie Richardson,England,5,4,1,80.00%
19,Graham Lalor,,5,4,1,80.00%
20,Astrid Trouwborst,Netherlands,5,4,1,80.00%
21,Leung Chun Nam,Hong Kong,5,4,1,80.00%
22,Mohd Nasir Jantan,Malaysia,5,4,1,80.00%
23,Jamie Wilson,,5,4,1,80.00%
24,Romwell Tagalog,Cayman Islands,5,4,1,80.00%
25,Akari Oshiro,Japan,5,4,1,80.00%
26,England,England,44,35,9,79.55%
27,Graham Hollis,England,14,11,3,78.57%
28,Michael van Gerwen,Netherlands,2331,1819,512,78.04%
29,Don Carrico,USA,9,7,2,77.78%
30,Herbie Nathan,New Zealand,43,33,10,76.74%
31,David Concanon,Ireland,42,32,10,76.19%
32,Corey Cadby,Australia,303,230,73,75.91%
33,Frans van Weit,Netherlands,8,6,2,75.00%
34,Tenge Brown,Jamaica,8,6,2,75.00%
35,Steve Hillier,England,8,6,2,75.00%
36,Francisco Ruiz,Spain,19,14,5,73.68%
37,Glen Durrant,England,701,515,186,73.47%
38,Jaime Nunez Cortes,Spain,26,19,7,73.08%
39,Arunas Ciplys,Lithuania,115,84,31,73.04%
40,Romeo Grbavac,Croatia,11,8,3,72.73%
41,Sebastian Bialecki,Poland,29,21,8,72.41%
42,Justin van Tergouw,Netherlands,250,180,70,72.00%
43,Krzysztof Ratajski,Poland,561,403,158,71.84%
44,Gary Anderson,Scotland,1888,1354,534,71.72%
45,Martin Adams,England,722,517,205,71.61%
46,Lisa Ashton,England,595,426,169,71.60%
47,Jose Escudero,Catalonia,7,5,2,71.43%
48,Michael Reichert,Germany,7,5,2,71.43%
49,Anthony Miera,USA,7,5,2,71.43%
50,Mauricio Maia,Brazil,7,5,2,71.43%
